flights,dp,dp_code,rp,rp_code,query_count
Shanghai(CSHA) - Los Angeles(LAXA),__,SHA/PVG,___,LAX,"334,397"
Beijing(BJSA) - London(LOND),__,PEK,__,LCY/LGW/LRH/LTN/SEN/STN,"286,433"
Shanghai(CSHA) - Seoul(SELA),__,PEK,__,SEL,"284,256"
Shanghai(CSHA) - Hong Kong(HKGA),__,SHA/PVG,__,HKG,"277,787"
Shanghai(CSHA) - New York(NYCA),__,SHA/PVG,__,EWR/LGA/JFK,"270,945"
Shanghai(CSHA) - Tokyo(TYOA),__,SHA/PVG,__,HND/NRT,"245,119"
Beijing(BJSA) - New York(NYCA),__,PEK,__,EWR/LGA/JFK,"236,537"
Shanghai(CSHA) - Bangkok(BKKT),__,SHA/PVG,__,BKK/DMK,"217,849"
Beijing(BJSA) - Moscow(MOSC),__,PEK,___,DME/SVO/VKO,"215,652"
Shanghai(CSHA) - Osaka(OSAA),__,SHA/PVG,__,KIX/ITM,"204,965"
Shanghai(CSHA) - Taipei(TPET),__,SHA/PVG,__,TPE/TSA,"203,557"
Shenzhen(CSZX) - Bangkok(BKKT),__,SZX,__,BKK/DMK,"190,813"
Shanghai(CSHA) - San Francisco(SFOA),__,SHA/PVG,___,SFO,"189,447"
Shanghai(CSHA) - Moscow(MOSC),__,SHA/PVG,___,DME/SVO/VKO,"182,010"
Qingdao(CTAO) - Seoul(SELA),__,TAO,__,SEL,"175,398"
Shanghai(CSHA) - Jeju(CJUA),__,SHA/PVG,___,CJU,"173,620"
Guangzhou(CCAN) - Bangkok(BKKT),__,CAN,__,BKK/DMK,"172,715"
Beijing(BJSA) - Seoul(SELA),__,PEK,__,SEL,"171,184"
Beijing(BJSA) - Hong Kong(HKGA),__,PEK,__,HKG,"170,362"
Shanghai(CSHA) - Paris(PARI),__,SHA/PVG,__,BVA/CDG/ORY,"167,949"
Shanghai(CSHA) - London(LOND),__,SHA/PVG,__,LCY/LGW/LRH/LTN/SEN/STN,"167,676"
Chengdu(CCTU) - Hong Kong(HKGA),__,CTU,__,HKG,"167,411"
Guangzhou(CCAN) - Kuala Lumpur(KULM),__,CAN,___,KUL/SZB,"165,283"
Beijing(BJSA) - Kuala Lumpur(KULM),__,PEK,___,KUL/SZB,"162,267"
Shanghai(CSHA) - Fukuoka(JFUK),__,SHA/PVG,__,FUK,"159,721"
Shanghai(CSHA) - Kuala Lumpur(KULM),__,SHA/PVG,___,KUL/SZB,"158,169"
Hangzhou(CHGH) - Hong Kong(HKGA),__,HGH,__,HKG,"158,169"
Beijing(BJSA) - Tokyo(TYOA),__,PEK,__,HND/NRT,"156,513"
Beijing(BJSA) - Los Angeles(LAXA),__,PEK,___,LAX,"149,651"
Shanghai(CSHA) - Singapore(SINS),__,SHA/PVG,___,SIN,"146,358"
Kunming(CKMG) - Bangkok(BKKT),__,KMG,__,BKK/DMK,"138,928"
Beijing(BJSA) - Bangkok(BKKT),__,PEK,__,BKK/DMK,"137,585"
Shanghai(CSHA) - Vancouver(YVRA),__,SHA/PVG,___,YVR/CXH,"134,420"
Guangzhou(CCAN) - Manila(MNLP),__,CAN,___,MNL,"134,255"
Shanghai(CSHA) - Sydney(SYDA),__,SHA/PVG,__,SYD,"133,634"
Xiamen(CXMN) - Hong Kong(HKGA),__,XMN,__,HKG,"130,462"
Fuzhou(CFOC) - Hong Kong(HKGA),__,FOC,__,HKG,"125,447"
Chongqing(CCKG) - Hong Kong(HKGA),__,CKG,__,HKG,"124,762"
Shanghai(CSHA) - Auckland(AKLN),__,SHA/PVG,___,AKL,"124,529"
Nanking / Nanjing(CNKG) - Hong Kong(HKGA),__,NKG,__,HKG,"118,126"
Beijing(BJSA) - Taipei(TPET),__,PEK,__,TPE/TSA,"118,045"
Beijing(BJSA) - San Francisco(SFOA),__,PEK,___,SFO,"116,502"
Shanghai(CSHA) - Phuket(HKTT),__,SHA/PVG,__,HKT,"116,361"
Kunming(CKMG) - Hong Kong(HKGA),__,KMG,__,HKG,"116,091"
Shenzhen(CSZX) - Taipei(TPET),__,SZX,__,TPE/TSA,"114,334"
Beijing(BJSA) - Paris(PARI),__,PEK,__,BVA/CDG/ORY,"112,788"
Shanghai(CSHA) - Nagoya(JNGO),__,SHA/PVG,___,NGO/NKM,"110,059"
Beijing(BJSA) - Toronto(YTOA),__,PEK,___,YTO/YHM/YTZ/YYZ,"109,772"
Xiamen(CXMN) - Taipei(TPET),__,XMN,__,TPE/TSA,"108,181"